%s: unable to resolve bind address %s; disabling bind.	%s: incapaz de resolver o endereço de ligação %s; desativando a ligação.
Connecting to %s|%s|:%d...	Conexando-se a %s em:%d...
of base64 encoded sha256 hashes preceded by	de hashes base64 codificados sha256 precedidos por
'sha256//' and separated by ';', to verify	'sha256//' e separado por ';', para verificar
peer against	contra peer versus peer
--random-file=FILE          file with random data for seeding the SSL PRNG	--random-file=FILE file with random data for seeding the SSL PRNG
--egd-file=FILE             file naming the EGD socket with random data	--egd-file=FILE file naming the EGD socket with random data
--ciphers=STR           Set the priority string (GnuTLS) or cipher list string (OpenSSL) directly.	--ciphers=STR Definir a cadeia de prioridade (GnuTLS) ou a cadeia de lista de cifras (OpenSSL) diretamente.
Use with care. This option overrides --secure-protocol.	Use com cuidado.Esta opção supera o --secure-protocol.
The format and syntax of this string depend on the specific SSL/TLS engine.	O formato e a sintaxe desta cadeia dependem do motor SSL/TLS específico.
HSTS options:	Opções de HSTS:
--no-hsts                   disable HSTS	--no-hsts desativar HSTS
--hsts-file                 path of HSTS database (will override default)	--hsts-file path of HSTS database (override por padrão)
FTP options:	Opções de FTP:
--ftp-stmlf                 use Stream_LF format for all binary FTP files	--ftp-stmlf use Stream_LF format for all binary FTP files
--ftp-user=USER             set ftp user to USER	--ftp-user=USER define o usuário ftp para o usuário --ftp-user=USER
--ftp-password=PASS         set ftp password to PASS	--ftp-password=PASS set ftp password to PASS
--no-remove-listing         don't remove '.listing' files	--no-remove-listing don't remove '.listing' files
--no-glob                   turn off FTP file name globbing	--no-glob desligue o nome de arquivo FTP globbing
--no-passive-ftp            disable the "passive" transfer mode	--no-passive-ftp desativar o modo de transferência "passivo"
--preserve-permissions      preserve remote file permissions	--preserve-permissions preserve remote file permissions
--retr-symlinks             when recursing, get linked-to files (not dir)	Retr-symlinks when recursing, get linked-to files (not dir) --
FTPS options:	Opções de FTPS:
--ftps-implicit                 use implicit FTPS (default port is 990)	--ftps-implicit use implicit FTPS (porte padrão é 990)
--ftps-resume-ssl               resume the SSL/TLS session started in the control connection when	--ftps-resume-ssl resume a sessão SSL/TLS iniciada na conexão de controle quando
opening a data connection	abrindo uma conexão de dados
--ftps-clear-data-connection    cipher the control channel only; all the data will be in plaintext	ftps-clear-data-connection cifre apenas o canal de controle; todos os dados estarão em texto em branco --
--ftps-fallback-to-ftp          fall back to FTP if FTPS is not supported in the target server	--ftps-fallback-to-ftp regressar ao FTP se o FTPS não for suportado no servidor-alvo
WARC options:	Opções de WARC:
--warc-file=FILENAME        save request/response data to a .warc.gz file	--warc-file=FILENAME save request/response data to a .warc.gz file
--warc-header=STRING        insert STRING into the warcinfo record	Warc-header=STRING insert STRING into the warcinfo record --
--warc-max-size=NUMBER      set maximum size of WARC files to NUMBER	Warc-max-size=NUMBER define o tamanho máximo de arquivos WARC para NUMBER --
--warc-cdx                  write CDX index files	--warc-cdx write CDX index files
--warc-dedup=FILENAME       do not store records listed in this CDX file	--warc-dedup=FILENAME não armazena registros listados neste arquivo CDX.
--no-warc-compression       do not compress WARC files with GZIP	--no-warc-compression não comprime arquivos WARC com GZIP
--no-warc-digests           do not calculate SHA1 digests	--no-warc-digests não calcula SHA1 digests
--no-warc-keep-log          do not store the log file in a WARC record	--no-warc-keep-log não armazenam o arquivo de log em um registro WARC.
--warc-tempdir=DIRECTORY    location for temporary files created by the	warc-tempdir=DIRECTORY location for temporary files created by the --
WARC writer	escritor do WARC
Recursive download:	Download recursivo:
-r,  --recursive                 specify recursive download	-r, --recursive specify recursive download
-l,  --level=NUMBER              maximum recursion depth (inf or 0 for infinite)	l, --level=NUMBER profundidade máxima de recorrência (inf ou 0 para infinito) -
--delete-after              delete files locally after downloading them	delete-after delete arquivos localmente depois de baixá-los --
-k,  --convert-links             make links in downloaded HTML or CSS point to	k, --convert-links fazem links em HTML ou CSS baixados apontando para  -convert-links.
local files	Arquivos locais
--convert-file-only         convert the file part of the URLs only (usually known as the basename)	--convert-file-only converter a parte de arquivo dos URLs apenas (geralmente conhecido como o nome básico)
--backups=N                 before writing file X, rotate up to N backup files	--backups=N antes de escrever o arquivo X, gire até N arquivos de backup
-K,  --backup-converted          before converting file X, back up as X_orig	-K, --backup-converted antes de converter o arquivo X, backup como X_orig
-K,  --backup-converted          before converting file X, back up as X.orig	-K, --backup-converted antes de converter o arquivo X, backup como X.orig
-m,  --mirror                    shortcut for -N -r -l inf --no-remove-listing	-m, --mirror abreviatura para -N -r -l inf --no-remove-listing
-p,  --page-requisites           get all images, etc. needed to display HTML page	-p, --page-requisites get all images, etc. necessários para exibir a página HTML -
--strict-comments           turn on strict (SGML) handling of HTML comments	--strict-comments ativam o tratamento rigoroso (SGML) de comentários HTML
Recursive accept/reject:	Recursiva accept/reject:
-A,  --accept=LIST               comma-separated list of accepted extensions	A, --accept=LIST lista de extensões aceitas com uma vírgula separada -
-R,  --reject=LIST               comma-separated list of rejected extensions	-R, --reject=LIST lista separada por vírgula de extensões rejeitadas
--accept-regex=REGEX        regex matching accepted URLs	--accept-regex=REGEX regex matching accepted URLs
--reject-regex=REGEX        regex matching rejected URLs	--reject-regex=REGEX regex matching rejected URLs
--regex-type=TYPE           regex type (posix|pcre)	O tipo de regex (reposi --x essepcre) é o tipo de regex (TYPE).
--regex-type=TYPE           regex type (posix)	--regex-type=TYPE regex tipo (posix)
-D,  --domains=LIST              comma-separated list of accepted domains	-D, --domains=LIST lista comma-separada de domínios aceitos.
--exclude-domains=LIST      comma-separated list of rejected domains	--exclude-domains=LIST comma-separated list of rejected domains
--follow-ftp                follow FTP links from HTML documents	--follow-ftp segue links FTP de documentos HTML
--follow-tags=LIST          comma-separated list of followed HTML tags	LIST comma-separated list of followed HTML tags --
--ignore-tags=LIST          comma-separated list of ignored HTML tags	LISTA uma lista comma-separada de tags HTML ignoradas --
-H,  --span-hosts                go to foreign hosts when recursive	-H, --span-hosts vão para hosts estrangeiros quando recorrentes
-L,  --relative                  follow relative links only	-L, --relativo seguir links relativos apenas
-I,  --include-directories=LIST  list of allowed directories	-I, --include-directories=LIST list of allowed directories
--trust-server-names        use the name specified by the redirection	--trust-server-names usam o nome especificado pelo redirecionamento
URL's last component	O último componente da URL
-X,  --exclude-directories=LIST  list of excluded directories	X, --exclude-directories=LIST list of excluded directories -
-np, --no-parent                 don't ascend to the parent directory	-np, --no-parent não ascender ao diretório dos pais -
Email bug reports, questions, discussions to <bug-wget@gnu.org>	E-mail relatórios de bugs, perguntas, discussões para <bug-wget@gnu.org>
and/or open issues at https://savannah.gnu.org/bugs/?func=additem&group=wget.	e/ou questões abertas em https://savannah.gnu.org/bugs/?func=additem&group=wget.
GNU Wget %s, a non-interactive network retriever.	GNU Wget %s, um retriever de rede não interativo.
Password for user %s:	Senha para o usuário %s:
Password:	Password:
Cannot create pipe	Não pode criar um tubo
Error initializing spawn file actions for use-askpass: %d	Erro na inicialização de ações de arquivo spawn para uso-askpass: %d
Error setting spawn file actions for use-askpass: %d	Error setting spawn file actions for use-askpass: %d
Error reading response from command "%s %s": %s	Erro de resposta de leitura do comando "%s %s": %s
Username for '%s%s':	Nome de usuário para '%s%s':
Password for '%s%s@%s':	Senha para '%s%s@%s':
Wgetrc:	Wgetrc:
Locale:	Locais:
Compile:	Compile:
Link:	Link:
GNU Wget %s built on %s.	GNU Wget %s construído em %s.
%s (env)	%s (env)
%s (user)	%s (usuário)
%s (system)	%s (sistema)
Copyright (C) %s Free Software Foundation, Inc.	Copyright (C) %s Free Software Foundation, Inc.
License GPLv3+: GNU GPL version 3 or later	Licença GPLv3+: GNU GPL versão 3 ou posterior
<http://www.gnu.org/licenses/gpl.html>.	<http://www.gnu.org/licenses/gpl.html>.
This is free software: you are free to change and redistribute it.	Este é um software livre: você é livre para alterá-lo e redistribuí-lo.
There is NO WARRANTY, to the extent permitted by law.	Não há garantia, na medida em que a lei o permite.
Originally written by Hrvoje Niksic <hniksic@xemacs.org>.	Originalmente escrito por Hrvoje Niksic <hniksic@xemacs.org>.
Please send bug reports and questions to <bug-wget@gnu.org>.	Por favor, envie relatórios de bugs e perguntas para <bug-wget@gnu.org>.
Memory allocation problem	Problema de alocação de memória
Exiting due to error in %s	Exitando devido a um erro em %s
Try `%s --help' for more options.	Tente `%s --help' para mais opções.
%s: illegal option -- `-n%c'	%s: opção ilegal -- `-n%c'
Debugging support not compiled in. Ignoring --debug flag.	O suporte de depuração não foi compilado, ignorando a bandeira --debug.
Both --no-clobber and --convert-links were specified, only --convert-links will be used.	Tanto --no-clobber e --convert-links foram especificados, apenas --convert-links serão usados.
Both --no-clobber and --convert-file-only were specified, only --convert-file-only will be used.	Ambos --no-clobber e --convert-file-only foram especificados, apenas --convert-file-only será usado.
Can't be verbose and quiet at the same time.	Não pode ser verbal e silencioso ao mesmo tempo.
Can't timestamp and not clobber old files at the same time.	Não pode timestamp e não clobber arquivos antigos ao mesmo tempo.
Cannot specify both --inet4-only and --inet6-only.	Não pode especificar tanto --inet4-only e --inet6-only.
Cannot specify both -k or --convert-file-only and -O if multiple URLs are given, or in combination	Não pode especificar -k ou --convert-file-only e -O se vários URLs forem dados, ou em combinação.
with -p or -r. See the manual for details.	-p ou -r. Veja o manual para detalhes.
WARNING: combining -O with -r or -p will mean that all downloaded content	AVISO: combinar -O com -r ou -p significará que todo o conteúdo baixado
will be placed in the single file you specified.	Será colocado no único arquivo que você especificou.
WARNING: timestamping does nothing in combination with -O. See the manual	AVISO: o timestamping não faz nada em combinação com -O. Veja o manual.
for details.	Para detalhes.
WARC output does not work with --no-clobber, --no-clobber will be disabled.	A saída WARC não funciona com --no-clobber, --no-clobber será desativado.
WARC output does not work with timestamping, timestamping will be disabled.	A saída do WARC não funciona com timestamping, o timestamping será desativado.
WARC output does not work with --spider.	A saída WARC não funciona com --spider.
WARC output does not work with --continue or --start-pos, they will be disabled.	A saída WARC não funciona com --continue ou --start-pos, elas serão desativadas.
Digests are disabled; WARC deduplication will not find duplicate records.	Digestões são desativadas; a deduplicação WARC não encontrará registros duplicados.
Compression does not work with --continue or --start-pos, they will be disabled.	A compressão não funciona com --continue ou --start-pos, eles serão desativados.
Cannot specify both --ask-password and --password.	Não pode especificar ambos --ask-password e --password.
WARNING: No username set with --ask-password. This is usually not what you want.	AVISO: Nenhum nome de usuário definido com --ask-password. geralmente não é o que você quer.
Specifying both --start-pos and --continue is not recommended; --continue will be disabled.	Especificar ambos --start-pos e --continue não é recomendado; --continue será desativado.
%s: missing URL	%s: miss URL
You cannot specify both --post-data and --post-file.	Você não pode especificar tanto --post-data e --post-file.
You cannot use --post-data or --post-file along with --method. --method expects data through --body-data and --body-file options	Você não pode usar --post-data ou --post-file juntamente com --method. --method espera dados através de --body-data e --body-file opções
You must specify a method through --method=HTTPMethod to use with --body-data or --body-file.	Você deve especificar um método através de --method=HTTPMethod para usar com --body-data ou --body-file.
You cannot specify both --body-data and --body-file.	Você não pode especificar tanto --body-data e --body-file.
This version does not have support for IRIs	Esta versão não tem suporte para IRIs
-k or -r can be used together with -O only if outputting to a regular file.	-k ou -r só pode ser usado em conjunto com -O se a saída for para um arquivo normal.
--convert-links or --convert-file-only can be used together only if outputting to a regular file.	Os links de conversão ou --convert-file-only só podem ser usados em conjunto somente se forem enviados para um arquivo normal.
Failed to init libcares	Falhou no init libcares
Failed to init c-ares channel	Não conseguiu iniciar o canal c-ares.
Failed to parse IP address '%s'	Não conseguiu analisar o endereço IP '%s'.
Failed to set DNS server(s) '%s' (%d)	Não conseguiu configurar o servidor DNS (((s) '%s' (%d)
No URLs found in %s.	Nenhum URL encontrado em %s.
Unable to parse metalink file %s.	Incapaz de partilhar o arquivo metalink %s.
Could not download all resources from %s.	Não conseguiu baixar todos os recursos de %s.
FINISHED --%s--	Fechado --%s--
Total wall clock time: %s	Tempo total de relógio de parede: %s
Downloaded: %d files, %s in %s (%s)	Descarregado: arquivos %d, %s em %s (%s)
Download quota of %s EXCEEDED!	Faça o download da quota de %s EXCEEDED!
-O not supported for metalink download. Ignoring.	-O não é suportado para download metalink.
[--trust-server-names %s, --directory-prefix=%s]	[--trust-server-names %s, --directory-prefix=%s]
Planned metalink file: %s	Arquivo Planned metalink: %s
Secured metalink file: %s	Arquivo de metallink protegido: %s
Rejecting metalink file. Unsafe name.	Rejeitando o arquivo metalink. nome inseguro.
Processing metaurl %s...	Processamento metaurl %s...
Rejecting metaurl file %s. Unsafe name.	Rejeitando o arquivo metaurl %s. Nome inseguro.
Failed to download %s. Skipping metaurl.	Não conseguiu fazer o download de %s, puxando o metaurl.
Unable to parse metaurl file %s.	Incapaz de partilhar o arquivo metaurl %s.
Metaurls processing returned with error.	Metaurls processamento retornou com erro.
Resource type %s not supported, ignoring...	O tipo de recurso %s não é suportado, ignorando...
Could not open downloaded file.	Não conseguiu abrir o arquivo baixado.
Computing size for %s	Tamanho de computação para %s
File size not declared. Skipping check.	Tamanho do arquivo não declarado.
Could not get downloaded file's size.	Não conseguiu obter o tamanho do arquivo baixado.
Size mismatch for file %s.	O tamanho não corresponde ao arquivo %s.
Size matches.	Os tamanhos coincidem.
Computing checksum for %s	Computação checksum para %s
Checksum matches.	O checksum corresponde.
Checksum mismatch for file %s.	Checksum mismatch for file %s.
Could not open downloaded file for signature verification.	Não conseguiu abrir o arquivo baixado para verificação de assinatura.
GPGME data_new_from_mem: %s	GPGME data_new_from_mem: %s
GPGME op_verify: %s	GPGME op_verify: %s
GPGME op_verify_result: NULL	GPGME op_verify_result: NULL
Signature validation succeeded.	A validação da assinatura foi bem sucedida.
Invalid signature. Rejecting resource.	Uma assinatura inválida, rejeitando um recurso.
Data matches signature, but signature is not trusted.	Os dados coincidem com a assinatura, mas a assinatura não é confiável.
No checksums found.	Nenhum checksum encontrado.
Failed to download %s. Skipping resource.	Não conseguiu fazer o download de %s. Saltou o recurso.
File %s retrieved but size does not match.	O arquivo %s foi recuperado, mas o tamanho não corresponde.
File %s retrieved but checksum does not match.	O arquivo %s foi recuperado, mas a soma de verificação não corresponde.
File %s retrieved but signature does not match.	O arquivo %s foi recuperado, mas a assinatura não corresponde.
Renaming %s to %s.	Renomear %s em %s.
Continuing in background.	Continuando em segundo plano.
Continuing in background, pid %lu.	Continuando em segundo plano, pid %lu.
Output will be written to %s.	A saída será escrita para %s.
fake_fork_child() failed	fake_fork_child() failed
fake_fork() failed	fake_fork() falhou
%s: Couldn't find usable socket driver.	%s: Não conseguiu encontrar o driver de socket utilizável.
ioctl() failed.  The socket could not be set as blocking.	ioctl() falhou. A tomada não pôde ser definida como bloqueio.
%s: %s:%d: warning: %s token appears before any machine name	%s: %s:%d: aviso: o token %s aparece antes de qualquer nome de máquina
%s: %s:%d: unknown token "%s"	%s: %s:%d: token desconhecido "%s"
Usage: %s NETRC [HOSTNAME]	Utilização: %s NETRC [HOSTNAME]
%s: cannot stat %s: %s	%s: não pode declarar %s: %s
WARNING: using a weak random seed.	AVISO: usando uma semente aleatória fraca.
Could not seed PRNG; consider using --random-file.	Não poderia semear PRNG; considere usar --random-file.
Your OpenSSL version is too old to support TLS 1.3	Sua versão OpenSSL é muito velha para suportar TLS 1.3
Your OpenSSL version is too old to support TLSv1.1	Sua versão OpenSSL é muito velha para suportar TLSv1.1
Your OpenSSL version is too old to support TLSv1.2	Sua versão OpenSSL é muito velha para suportar TLSv1.2
OpenSSL: unimplemented 'secure-protocol' option value %d	OpenSSL: valor de opção 'secure-protocol' não implementado %d
Your OpenSSL version does not support option '%s'.	Sua versão OpenSSL não suporta a opção '%s'.
OpenSSL: Invalid cipher list: %s	OpenSSL: Lista de cifras inválidas: %s
OpenSSL: Failed set trust to partial chain	OpenSSL: Falta de confiança no conjunto de cadeias parciais.
OpenSSL: Failed to allocate verification param	OpenSSL: Falhou na atribuição de parametros de verificação.
WARNING: Could not seed PRNG. Consider using --random-file.	AVISO: Não conseguiu semear PRNG. Considere usar --random-file.
%s: cannot verify %s's certificate, issued by %s:	%s: não pode verificar o certificado de %s, emitido por %s:
Unable to locally verify the issuer's authority.	Incapaz de verificar localmente a autoridade do emissor.
Self-signed certificate encountered.	Certificado auto-assinado encontrado.
Issued certificate not yet valid.	Certificado emitido ainda não válido.
Issued certificate has expired.	O certificado emitido expirou.
%s: no certificate subject alternative name matches	%s: não há certificado sujeito alternativo nome coincide
requested host name %s.	nome de hospedeiro solicitado %s.
%s: certificate common name %s doesn't match requested host name %s.	%s: o nome comum do certificado %s não corresponde ao nome do host solicitado %s.
%s: certificate common name is invalid (contains a NUL character).	%s: o nome comum do certificado é inválido (contém um caráter NUL).
This may be an indication that the host is not who it claims to be	Isso pode ser uma indicação de que o anfitrião não é quem ele afirma ser.
(that is, it is not the real %s).	(isto é, não é o real %s).
To connect to %s insecurely, use `--no-check-certificate'.	Para se conectar a %s de forma insegura, use `--no-check-certificate'.
%*s[ skipping %sK ]	%*s[ saltando %sK ]
Invalid dot style specification %s; leaving unchanged.	Especificação de estilo de ponto inválido %s; deixando inalterado.
eta %s	%s e %s
in	em
Cannot get REALTIME clock frequency: %s	Não pode obter a frequência do relógio REALTIME: %s
nofollow attribute found in %s. Will not follow any links on this page	O atributo nofollow encontrado em %s. Não seguirá nenhum link desta página.
Removing %s since it should be rejected.	Removendo %s, uma vez que ele deve ser rejeitado.
Cannot open %s: %s	Não pode abrir %s: %s
Loading robots.txt; please ignore errors.	Carregando robots.txt; por favor, ignore os erros.
Error parsing proxy URL %s: %s.	Erro parsing proxy URL %s: %s.
Error in proxy URL %s: Must be HTTP.	Erro no URL de proxy %s: Deve ser HTTP.
%d redirections exceeded.	O %d de redireções foi excedido.
Giving up.	Desistir.
Retrying.	Tentando novamente.
Found no broken links.	Não foi encontrado nenhum link quebrado.
No error	Não há erro
Unsupported scheme	Esquema sem suporte
HTTPS support not compiled in	O suporte a HTTPS não foi compilado em
FTPS support not compiled in	O suporte ao FTPS não foi compilado em FT.
Scheme missing	O esquema está faltando
Invalid host name	Nome de hospedeiro inválido
Bad port number	O número de porto ruim
Invalid user name	Nome de usuário inválido
Unterminated IPv6 numeric address	Endereço numérico IPv6 subminado
IPv6 addresses not supported	Endereços IPv6 não são suportados
Invalid IPv6 numeric address	Endereço numérico IPv6 inválido
Unconvertable multibyte sequence encountered	Seqüência multibata inconversível encontrada
%s: %s: Failed to allocate enough memory; memory exhausted.	%s: %s: Não conseguiu atribuir memória suficiente; memória esgotada.
%s: %s: Failed to allocate %ld bytes; memory exhausted.	%s: %s: Não conseguiu atribuir %ld bytes; a memória foi esgotada.
%s: aprintf: text buffer is too big (%d bytes), aborting.	%s: aprintf: o buffer de texto é muito grande (%d bytes), abortando.
Continuing in background, pid %d.	Continuando em segundo plano, pid %d..
Failed to unlink symlink %s: %s	Falhou em desvincular o link de sincronismo %s: %s
Failed to Fopen file %s	Falhou em abrir o arquivo %s.
Failed to get FD for file %s	Não conseguiu obter FD para arquivo %s
Failed to stat file %s, (check permissions)	Falhou no arquivo de estatística %s, (verifique as permissões)
File %s changed since the last check. Security check failed.	O arquivo %s mudou desde a última verificação.
Failed to open file %s, reason :%s	Não conseguiu abrir o arquivo %s, razão: %s
Failed to stat file %s, error: %s	Falhou no arquivo de estatística %s, erro: %s
Trying to open file %s but it changed since last check. Security check failed.	Tentei abrir o arquivo %s, mas ele mudou desde a última verificação.
Invalid regular expression %s, PCRE2 error %d	Invalida expressão regular %s, erro PCRE2 %d
Invalid regular expression %s, %s	Invalida expressão regular %s, %s
Error while matching %s: %d	Erro ao combinar %s: %d
Skipping key with wrong size (%d/%d): %s	Salto de chave com tamanho errado (%d/%d): %s
Error setting WARC file position.	Erro na configuração de posição do arquivo WARC.
Error flushing WARC file to disk.	Erro flushing WARC arquivo para disco.
Error duplicating WARC file file descriptor.	Erro duplicando o descriptor de arquivo de arquivo WARC.
Error opening GZIP stream to WARC file.	Erro na abertura do fluxo GZIP para o arquivo WARC.
Error writing warcinfo record to WARC file.	Erro em escrever warcinfo record para o arquivo WARC.
Opening WARC file %s.	Abrindo o arquivo WARC %s.
Error opening WARC file %s.	Erro na abertura do arquivo WARC %s.
CDX file does not list original urls. (Missing column 'a'.)	O arquivo CDX não lista os urls originais. (Coluna Missing 'a'.)
CDX file does not list checksums. (Missing column 'k'.)	O arquivo CDX não lista os checksums. (Coluna faltante 'k'.)
CDX file does not list record ids. (Missing column 'u'.)	O arquivo CDX não lista ids de registro. (Coluna Missing 'u'.)
Could not read CDX file %s for deduplication.	Não conseguiu ler o arquivo CDX %s para deduplicação.
Could not open temporary WARC manifest file.	Não conseguiu abrir o temporário arquivo de manifesto WARC.
Could not open temporary WARC log file.	Não conseguiu abrir o temporário arquivo de registro WARC.
Could not open WARC file.	Não conseguiu abrir o arquivo WARC.
Could not open CDX file for output.	Não conseguiu abrir o arquivo CDX para saída.
Could not open temporary WARC file.	Não conseguiu abrir temporary WARC arquivo.
Found exact match in CDX file. Saving revisit record to WARC.	Encontrou a correspondência exata no arquivo CDX. Salvando o registro revisitado para WARC.
